System,T(K),GammaInf,Ref,1,2,3,4,5,6,,,,,,,
1-octanol/water,298,11000,10,3.16,up,5.zo,up,4.55,1.37,4.07,ms,4.oa,ms,.,,
1-octanol/water,333,9390,10,2.17,3.08,103,3,2.56,10*,2.41,103,3.23,103,-,,
1-octanol/water,373,5900,10,1.53,1.93,2.05,3.1810],1.51,109,2.11,109,-,,,,
water/1-octanol,298,4.51,10,5.77,5.67,4.81,7.17,1.49,8.31,-,,,,,,
water/1-octanol,333,4.3,10,5.96,4.43,5.12,7.34,1.49,6.27,-,,,,,,
water/1-octanol,373,4,10,5.95,3.76,5.27,7.41,1.49,4.59,-,,,,,,
1-decanol/water,298,209000,10,2.49,104,4.47,104,4.37,104,1.02,10*,3.35,104,4.25,101,~
1-decanol/water,333,150000,10,1.53,2.34,2.54,10*,2.15,1.75,2.96,-,,,,,
1-decanol/water,373,61000,10,9.75,103,1.31,104,1.55,104,2.09,104,9.86,109,1.6,104,-
water/1-decanol,298,4.9,10,6.66,5.7,5.86,8.59,1.39,9.75,-,,,,,,
water/1-decanol,333,4.3,10,6.85,4.61,6.18,8.85,1.39,6.96,-,,,,,,
water/1-decanol,373,3.8,10,5.8,4.05,6.29,9.07,1.41,4.88,-,,,,,,
1-dodecanol/water,298,2410000,105,14,1.98,3.87,4.22,105,7.92,104,2.09,4.55,-,,,
1-heptadecanol/water,298,1780000000,14,00:00:03,107,8.75,1.23,1.52,7.29,1.8311B,-,,,,,
1-octadecanol/water,298,14300000000,14,1.03,108,259,108,3.48,4.43,107,224,109,6.14,109,-,
