"System","T","GammaInf","Ref"
"n-pentane/water",283,"93400",14
"n-pentane/water",293,"99000",14
"n-pentane/water",298,"104000",14
"n-hexane/water",293,"344000",14
"n-hexane/water",298,"360000",14
"n-hexane/water",303,"356000",14
"n-hexane/water",313,"333000",14
"n-heptane/water",293,"1900000",14
"n-heptane/water",298,"2000000",14
"n-heptane/water",303,"2110000",14
"n-heptane/water",313,"2320000",14
"n-octane/water",293,"8850000",14
"n-octane/water",298,"9090000",14
"n-octane/water",303,"7810000",14
"n-decane/water",293,"152000000",8
