"System","T","GammaInf","Ref",
"1,3-Butadiene/water","298.15","4105.16","DOI 10.1007/s10822-006-9079-6",
"1,4-Pentadiene/water","298.15","6768.26","DOI 10.1007/s10822-006-9079-6",
"1,5-Hexadiene/water","298.15","26903.19","DOI 10.1007/s10822-006-9079-6",
"1,6-Heptadiene/water","298.15","120571.71","DOI 10.1007/s10822-006-9079-6",
"1-Butene/water","298.15","5064.45","DOI 10.1007/s10822-006-9079-6",
"1-Hexene/water","298.15","88432.96","DOI 10.1007/s10822-006-9079-6",
"1-Pentene/water","298.15","26370.47","DOI 10.1007/s10822-006-9079-6",
"2-Methyl propene/water","298.15","4628.55","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1,3-butadiene/water","298.15","5884.05","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1-pentene/water","298.15","59874.14","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-2-butene/water","298.15","17854.31","DOI 10.1007/s10822-006-9079-6",
"Cis-2-Pentene/water","298.15","19148.89","DOI 10.1007/s10822-006-9079-6",
"3-Methyl-1-butene/water","298.15","29732.62","DOI 10.1007/s10822-006-9079-6",
"4-Methyl-1-pentene/water","298.15","97733.53","DOI 10.1007/s10822-006-9079-6",
"Propene/water","298.15","1152.86","DOI 10.1007/s10822-006-9079-6",
